geo_value,time_value,change_health,hospital_admit,doc_visits,ground_truth,ground_truth+1,change_health-1,hospital_admit-1,doc_visits-1
06111,2020-03-03,0.033366,0.1979663076923077,0.0,0.0,0.0,0.043019,0.17915015384615382,0.0
06113,2020-03-03,0.073167,0.1979663076923077,0.0,0.0,0.0,0.067865,0.17915015384615382,0.0
06115,2020-03-03,0.091373,0.1979663076923077,0.11202643589743591,0.0,0.0,0.09024,0.17915015384615382,0.10891543589743588
06001,2020-03-04,0.011438,0.119776,0.019267,0.0,0.0,0.012357,0.119366,0.0
06003,2020-03-04,0.07547118181818181,0.18485300000000002,0.0955253076923077,0.0,0.0,0.07641947272727273,0.1979663076923077,0.11202643589743591
06005,2020-03-04,0.126032,0.18485300000000002,0.0,0.0,0.0,0.128337,0.1979663076923077,0.0
06007,2020-03-04,0.051584,0.18485300000000002,0.0,0.0,0.0,0.050301,0.1979663076923077,0.0
06009,2020-03-04,0.376429,0.18485300000000002,0.0955253076923077,0.0,0.0,0.374708,0.1979663076923077,0.11202643589743591
06011,2020-03-04,0.286573,0.18485300000000002,0.0,0.0,0.0,0.285432,0.1979663076923077,0.0
06013,2020-03-04,0.018247,0.126881,0.0,1.0,0.0,0.020528,0.125332,0.0
06015,2020-03-04,0.09434,0.18485300000000002,0.0955253076923077,0.0,0.0,0.09542,0.1979663076923077,0.11202643589743591
06017,2020-03-04,0.036743,0.18485300000000002,0.047929,0.0,0.0,0.037632,0.1979663076923077,0.186857
06019,2020-03-04,0.013239,0.18485300000000002,0.0,0.0,0.0,0.01434,0.1979663076923077,0.0
06021,2020-03-04,0.137851,0.18485300000000002,0.0955253076923077,0.0,0.0,0.138055,0.1979663076923077,0.11202643589743591
06023,2020-03-04,0.044065,0.18485300000000002,0.0,0.0,0.0,0.042812,0.1979663076923077,0.0
06025,2020-03-04,0.040868,0.18485300000000002,0.0,0.0,0.0,0.044031,0.1979663076923077,0.0
06027,2020-03-04,0.095862,0.18485300000000002,0.0955253076923077,0.0,0.0,0.099253,0.1979663076923077,0.11202643589743591
06029,2020-03-04,0.006951,0.18485300000000002,0.0,0.0,0.0,0.007849,0.490785,0.0
06031,2020-03-04,0.069366,0.18485300000000002,0.0,0.0,0.0,0.074212,0.1979663076923077,0.0
06033,2020-03-04,0.083249,0.18485300000000002,0.0955253076923077,0.0,0.0,0.079414,0.1979663076923077,0.11202643589743591
06035,2020-03-04,0.12308,0.18485300000000002,0.0955253076923077,0.0,0.0,0.122783,0.1979663076923077,0.11202643589743591
06037,2020-03-04,0.002428,0.290357,0.11531,6.0,4.0,0.002836,0.191939,0.10769
06039,2020-03-04,0.057876,0.18485300000000002,0.0,0.0,0.0,0.056022,0.1979663076923077,0.0
06041,2020-03-04,0.035672,0.18485300000000002,0.0,0.0,0.0,0.037042,0.1979663076923077,0.0
06043,2020-03-04,0.305735,0.18485300000000002,0.0955253076923077,0.0,0.0,0.305576,0.1979663076923077,0.11202643589743591
06045,2020-03-04,0.087092,0.18485300000000002,0.0,0.0,0.0,0.085882,0.1979663076923077,0.0
06047,2020-03-04,0.051027,0.18485300000000002,0.0,0.0,0.0,0.049613,0.1979663076923077,0.0
06049,2020-03-04,0.122171,0.18485300000000002,0.0955253076923077,0.0,0.0,0.124419,0.1979663076923077,0.11202643589743591
06051,2020-03-04,0.195312,0.18485300000000002,0.0955253076923077,0.0,0.0,0.202429,0.1979663076923077,0.11202643589743591
06053,2020-03-04,0.037159,0.18485300000000002,0.145264,0.0,0.0,0.039884,0.1979663076923077,0.31307
06055,2020-03-04,0.045567,0.18485300000000002,0.61351,0.0,0.0,0.046003,0.1979663076923077,0.700802
06059,2020-03-04,0.003644,0.230324,0.098592,2.0,0.0,0.003883,0.253461,0.098592
06061,2020-03-04,0.028255,0.492484,0.0,1.0,0.0,0.031164,0.428251,0.0
06063,2020-03-04,0.082507,0.18485300000000002,0.0955253076923077,0.0,0.0,0.082651,0.1979663076923077,0.11202643589743591
06065,2020-03-04,0.008791,0.099604,0.0,0.0,0.0,0.009859,0.09886,0.0
06067,2020-03-04,0.008092,0.146177,0.0,0.0,0.0,0.008748,0.146017,0.0
06069,2020-03-04,0.199185,0.18485300000000002,1.12494,0.0,0.0,0.205688,0.1979663076923077,1.027733
06071,2020-03-04,0.008126,0.13987,0.204961,0.0,0.0,0.009459,0.143434,0.202547
06073,2020-03-04,0.002669,0.088783,0.0,0.0,1.0,0.002906,0.087916,0.0
06075,2020-03-04,0.011392,0.192245,0.0,0.0,2.0,0.012793,0.193351,0.0
06077,2020-03-04,0.01234,0.18485300000000002,0.009303,0.0,0.0,0.013295,0.1979663076923077,0.017996
06079,2020-03-04,0.052272,0.18485300000000002,0.0,0.0,0.0,0.050472,0.1979663076923077,0.0
06081,2020-03-04,0.010402,0.201106,0.036563,0.0,0.0,0.012617,0.204012,0.05595
06083,2020-03-04,0.02469,0.18485300000000002,0.0,0.0,0.0,0.026937,0.1979663076923077,0.146257
06085,2020-03-04,0.00943,0.090629,0.093953,4.0,7.0,0.010802,0.090838,0.095614
06089,2020-03-04,0.043122,0.18485300000000002,0.0,0.0,0.0,0.044951,0.1979663076923077,0.0
06091,2020-03-04,0.282486,0.18485300000000002,0.0955253076923077,0.0,0.0,0.265957,0.1979663076923077,0.11202643589743591
06093,2020-03-04,0.085528,0.18485300000000002,0.0955253076923077,0.0,0.0,0.087813,0.1979663076923077,0.11202643589743591
06095,2020-03-04,0.060954,0.18485300000000002,0.0,0.0,0.0,0.066527,0.1979663076923077,0.062606
06097,2020-03-04,0.025724,0.18485300000000002,0.0,0.0,0.0,0.028545,0.1979663076923077,0.0
06099,2020-03-04,0.013563,0.18485300000000002,0.0,0.0,0.0,0.014514,0.1979663076923077,0.0
06101,2020-03-04,0.074718,0.18485300000000002,1.215895,0.0,0.0,0.074694,0.1979663076923077,1.353317
06103,2020-03-04,0.086481,0.18485300000000002,0.0955253076923077,0.0,0.0,0.083939,0.1979663076923077,0.11202643589743591
06105,2020-03-04,0.160256,0.18485300000000002,0.0955253076923077,0.0,0.0,0.162866,0.1979663076923077,0.11202643589743591
06107,2020-03-04,0.032513,0.18485300000000002,0.0,0.0,0.0,0.033809,0.1979663076923077,0.0
06109,2020-03-04,0.082586,0.18485300000000002,0.0955253076923077,0.0,0.0,0.083106,0.1979663076923077,0.11202643589743591
06111,2020-03-04,0.027059,0.18485300000000002,0.0,0.0,0.0,0.033366,0.1979663076923077,0.0
06113,2020-03-04,0.066652,0.18485300000000002,0.0,0.0,0.0,0.073167,0.1979663076923077,0.0
06115,2020-03-04,0.091522,0.18485300000000002,0.0955253076923077,0.0,0.0,0.091373,0.1979663076923077,0.11202643589743591
